rib_index,side,point_index,x,y,z
1,L,0,-237.718317,-26.743352,-265.019539
1,L,1,-238.772003,-25.759047,-266.319664
1,L,2,-239.785614,-24.828895,-267.630546
1,L,3,-240.759652,-23.952980,-268.950918
1,L,4,-241.694622,-23.131388,-270.279512
1,L,5,-242.591029,-22.364203,-271.615061
1,L,6,-243.449376,-21.651509,-272.956298
1,L,7,-244.270168,-20.993392,-274.301955
1,L,8,-245.053908,-20.389934,-275.650766
1,L,9,-245.801102,-19.841222,-277.001463
1,L,10,-246.512253,-19.347340,-278.352779
1,L,11,-247.187865,-18.908371,-279.703447
1,L,12,-247.828443,-18.524402,-281.052199
1,L,13,-248.434491,-18.195516,-282.397768
1,L,14,-249.006512,-17.921797,-283.738887
1,L,15,-249.545012,-17.703331,-285.074289
1,L,16,-250.050494,-17.540203,-286.402706
1,L,17,-250.523462,-17.432495,-287.722872
1,L,18,-250.964422,-17.380294,-289.033519
1,L,19,-251.373876,-17.383683,-290.333379
1,L,20,-251.752329,-17.442748,-291.621186
1,L,21,-252.100286,-17.557573,-292.895672
1,L,22,-252.418250,-17.728242,-294.155571
1,L,23,-252.706726,-17.954839,-295.399614
1,L,24,-252.966217,-18.237451,-296.626534
1,L,25,-253.197229,-18.576087,-297.835065
1,L,26,-253.400264,-18.969815,-299.023939
1,L,27,-253.575828,-19.417032,-300.191889
1,L,28,-253.724425,-19.916125,-301.337648
1,L,29,-253.846559,-20.465480,-302.459948
1,L,30,-253.942733,-21.063483,-303.557522
1,L,31,-254.013453,-21.708520,-304.629103
1,L,32,-254.059222,-22.398976,-305.673423
1,L,33,-254.080544,-23.133238,-306.689216
1,L,34,-254.077924,-23.909692,-307.675215
1,L,35,-254.051866,-24.726722,-308.630151
1,L,36,-254.002875,-25.582717,-309.552758
1,L,37,-253.931453,-26.476061,-310.441768
1,L,38,-253.838106,-27.405139,-311.295915
1,L,39,-253.723337,-28.368340,-312.113930
1,L,40,-253.587652,-29.364047,-312.894548
1,L,41,-253.431553,-30.390647,-313.636499
1,L,42,-253.255546,-31.446526,-314.338519
1,L,43,-253.060134,-32.530070,-314.999338
1,L,44,-252.845821,-33.639665,-315.617690
1,L,45,-252.613113,-34.773697,-316.192307
1,L,46,-252.362512,-35.930551,-316.721923
1,L,47,-252.094523,-37.108614,-317.205270
1,L,48,-251.809651,-38.306272,-317.641081
1,L,49,-251.508399,-39.521910,-318.028088
1,L,50,-251.191272,-40.753914,-318.365025
1,L,51,-250.858774,-42.000725,-318.650964
1,L,52,-250.511409,-43.261069,-318.886792
1,L,53,-250.149681,-44.533770,-319.074000
1,L,54,-249.774095,-45.817652,-319.214075
1,L,55,-249.385154,-47.111537,-319.308510
1,L,56,-248.983363,-48.414249,-319.358792
1,L,57,-248.569227,-49.724611,-319.366413
1,L,58,-248.143248,-51.041445,-319.332862
1,L,59,-247.705932,-52.363576,-319.259629
1,L,60,-247.257782,-53.689827,-319.148204
1,L,61,-246.799303,-55.019020,-319.000077
1,L,62,-246.330999,-56.349979,-318.816738
1,L,63,-245.853374,-57.681527,-318.599676
1,L,64,-245.366933,-59.012488,-318.350381
1,L,65,-244.872179,-60.341684,-318.070344
1,L,66,-244.369616,-61.667939,-317.761053
1,L,67,-243.859750,-62.990076,-317.424000
1,L,68,-243.343084,-64.306918,-317.060674
1,L,69,-242.820122,-65.617288,-316.672564
1,L,70,-242.291368,-66.920011,-316.261161
1,L,71,-241.757327,-68.213907,-315.827955
1,L,72,-241.218503,-69.497802,-315.374435
1,L,73,-240.675400,-70.770519,-314.902091
1,L,74,-240.128522,-72.030879,-314.412413
1,L,75,-239.578373,-73.277883,-313.906892
1,L,76,-239.025458,-74.511680,-313.387016
1,L,77,-238.470281,-75.732885,-312.854276
1,L,78,-237.913346,-76.942114,-312.310162
1,L,79,-237.355157,-78.139983,-311.756163
1,L,80,-236.796218,-79.327108,-311.193769
1,L,81,-236.237034,-80.504107,-310.624471
1,L,82,-235.678108,-81.671593,-310.049758
1,L,83,-235.119945,-82.830185,-309.471120
1,L,84,-234.563050,-83.980497,-308.890046
1,L,85,-234.007925,-85.123146,-308.308028
1,L,86,-233.455076,-86.258748,-307.726554
1,L,87,-232.905007,-87.387919,-307.147115
1,L,88,-232.358221,-88.511276,-306.571200
1,L,89,-231.815224,-89.629433,-306.000299
1,L,90,-231.276518,-90.743009,-305.435902
1,L,91,-230.742610,-91.852618,-304.879500
1,L,92,-230.214001,-92.958876,-304.332581
1,L,93,-229.691198,-94.062401,-303.796636
1,L,94,-229.174703,-95.163807,-303.273155
1,L,95,-228.665021,-96.263712,-302.763627
1,L,96,-228.162657,-97.362730,-302.269542
1,L,97,-227.668114,-98.461479,-301.792391
1,L,98,-227.181897,-99.560575,-301.333663
1,L,99,-226.704510,-100.660633,-300.894847
1,R,0,-237.718317,-26.228454,-214.322141
1,R,1,-238.772003,-25.605148,-213.095608
1,R,2,-239.785614,-25.036518,-211.874789
1,R,3,-240.759652,-24.521707,-210.660031
1,R,4,-241.694622,-24.059859,-209.451683
1,R,5,-242.591029,-23.650117,-208.250094
1,R,6,-243.449376,-23.291623,-207.055614
1,R,7,-244.270168,-22.983519,-205.868590
1,R,8,-245.053908,-22.724950,-204.689372
1,R,9,-245.801102,-22.515057,-203.518307
1,R,10,-246.512253,-22.352983,-202.355746
1,R,11,-247.187865,-22.237872,-201.202037
1,R,12,-247.828443,-22.168867,-200.057528
1,R,13,-248.434491,-22.145109,-198.922569
1,R,14,-249.006512,-22.165742,-197.797507
1,R,15,-249.545012,-22.229909,-196.682692
1,R,16,-250.050494,-22.336753,-195.578473
1,R,17,-250.523462,-22.485415,-194.485199
1,R,18,-250.964422,-22.675041,-193.403217
1,R,19,-251.373876,-22.904771,-192.332878
1,R,20,-251.752329,-23.173749,-191.274529
1,R,21,-252.100286,-23.481118,-190.228519
1,R,22,-252.418250,-23.826021,-189.195198
1,R,23,-252.706726,-24.207600,-188.174913
1,R,24,-252.966217,-24.624999,-187.168015
1,R,25,-253.197229,-25.077359,-186.174851
1,R,26,-253.400264,-25.563825,-185.195770
1,R,27,-253.575828,-26.083539,-184.231121
1,R,28,-253.724425,-26.635643,-183.281253
1,R,29,-253.846559,-27.219281,-182.346515
1,R,30,-253.942733,-27.833595,-181.427254
1,R,31,-254.013453,-28.477728,-180.523821
1,R,32,-254.059222,-29.150824,-179.636564
1,R,33,-254.080544,-29.852024,-178.765832
1,R,34,-254.077924,-30.580473,-177.911973
1,R,35,-254.051866,-31.335311,-177.075336
1,R,36,-254.002875,-32.115684,-176.256270
1,R,37,-253.931453,-32.920732,-175.455124
1,R,38,-253.838106,-33.749600,-174.672246
1,R,39,-253.723337,-34.601429,-173.907985
1,R,40,-253.587652,-35.475364,-173.162691
1,R,41,-253.431553,-36.370546,-172.436711
1,R,42,-253.255546,-37.286119,-171.730395
1,R,43,-253.060134,-38.221225,-171.044091
1,R,44,-252.845821,-39.175007,-170.378148
1,R,45,-252.613113,-40.146608,-169.732915
1,R,46,-252.362512,-41.135171,-169.108741
1,R,47,-252.094523,-42.139839,-168.505974
1,R,48,-251.809651,-43.159754,-167.924963
1,R,49,-251.508399,-44.194060,-167.366057
1,R,50,-251.191272,-45.241899,-166.829605
1,R,51,-250.858774,-46.302414,-166.315955
1,R,52,-250.511409,-47.374748,-165.825456
1,R,53,-250.149681,-48.458044,-165.358457
1,R,54,-249.774095,-49.551444,-164.915307
1,R,55,-249.385154,-50.654092,-164.496355
1,R,56,-248.983363,-51.765130,-164.101949
1,R,57,-248.569227,-52.883702,-163.732438
1,R,58,-248.143248,-54.008949,-163.388171
1,R,59,-247.705932,-55.140015,-163.069496
1,R,60,-247.257782,-56.276043,-162.776762
1,R,61,-246.799303,-57.416176,-162.510319
1,R,62,-246.330999,-58.559555,-162.270515
1,R,63,-245.853374,-59.705325,-162.057698
1,R,64,-245.366933,-60.852628,-161.872218
1,R,65,-244.872179,-62.000607,-161.714423
1,R,66,-244.369616,-63.148405,-161.584661
1,R,67,-243.859750,-64.295164,-161.483283
1,R,68,-243.343084,-65.440028,-161.410636
1,R,69,-242.820122,-66.582139,-161.367069
1,R,70,-242.291368,-67.720640,-161.352931
1,R,71,-241.757327,-68.854674,-161.368571
1,R,72,-241.218503,-69.983384,-161.414338
1,R,73,-240.675400,-71.105912,-161.490580
1,R,74,-240.128522,-72.221402,-161.597646
1,R,75,-239.578373,-73.328997,-161.735885
1,R,76,-239.025458,-74.427838,-161.905645
1,R,77,-238.470281,-75.517069,-162.107276
1,R,78,-237.913346,-76.595834,-162.341126
1,R,79,-237.355157,-77.663274,-162.607544
1,R,80,-236.796218,-78.718532,-162.906878
1,R,81,-236.237034,-79.760752,-163.239478
1,R,82,-235.678108,-80.789077,-163.605692
1,R,83,-235.119945,-81.802648,-164.005869
1,R,84,-234.563050,-82.800609,-164.440358
1,R,85,-234.007925,-83.782103,-164.909508
1,R,86,-233.455076,-84.746273,-165.413667
1,R,87,-232.905007,-85.692261,-165.953183
1,R,88,-232.358221,-86.619210,-166.528407
1,R,89,-231.815224,-87.526263,-167.139686
1,R,90,-231.276518,-88.412564,-167.787370
1,R,91,-230.742610,-89.277254,-168.471806
1,R,92,-230.214001,-90.119477,-169.193345
1,R,93,-229.691198,-90.938375,-169.952334
1,R,94,-229.174703,-91.733092,-170.749123
1,R,95,-228.665021,-92.502770,-171.584059
