rib_index,side,point_index,x,y,z
1,L,0,0,0,0
1,L,1,-0.716666000000004,0.984305000000003,-1.30012499999998
1,L,2,-1.545391,1.914457,-2.61100699999997
1,L,3,-2.478272,2.790372,-3.93137899999999
1,L,4,-3.50740500000001,3.611964,-5.259973
1,L,5,-4.62488700000003,4.379149,-6.59552200000002
1,L,6,-5.82281300000002,5.091843,-7.936759
1,L,7,-7.09328200000002,5.74996,-9.28241600000001
1,L,8,-8.42838800000001,6.353418,-10.631227
1,L,9,-9.82022900000001,6.90213,-11.981924
1,L,10,-11.2609,7.396012,-13.33324
1,L,11,-12.742499,7.834981,-14.683908
1,L,12,-14.257121,8.21895,-16.03266
1,L,13,-15.796864,8.547836,-17.378229
1,L,14,-17.353663,8.821555,-18.719348
1,L,15,-18.916825,9.040021,-20.05475
1,L,16,-20.473521,9.203149,-21.383167
1,L,17,-22.010856,9.310857,-22.703333
1,L,18,-23.515937,9.363058,-24.01398
1,L,19,-24.975871,9.359669,-25.31384
1,L,20,-26.377763,9.300604,-26.601647
1,L,21,-27.708722,9.185779,-27.876133
1,L,22,-28.955854,9.01511,-29.136032
1,L,23,-30.106264,8.788513,-30.380075
1,L,24,-31.14706,8.505901,-31.606995
1,L,25,-32.065348,8.167265,-32.815526
1,L,26,-32.848235,7.773537,-34.0044
1,L,27,-33.486376,7.32632,-35.17235
1,L,28,-33.98352,6.827227,-36.318109
1,L,29,-34.346437,6.277872,-37.440409
1,L,30,-34.581895,5.679869,-38.537983
1,L,31,-34.696663,5.034832,-39.609564
1,L,32,-34.697511,4.344376,-40.653884
1,L,33,-34.591206,3.610114,-41.669677
1,L,34,-34.384519,2.83366,-42.655676
1,L,35,-34.084217,2.01663,-43.610612
1,L,36,-33.697071,1.160635,-44.533219
1,L,37,-33.229848,0.267291,-45.422229
1,L,38,-32.689318,-0.661786999999997,-46.276376
1,L,39,-32.08225,-1.624988,-47.094391
1,L,40,-31.415413,-2.620695,-47.875009
1,L,41,-30.695575,-3.647295,-48.61696
1,L,42,-29.929506,-4.703174,-49.31898
1,L,43,-29.123975,-5.786718,-49.979799
1,L,44,-28.28575,-6.896313,-50.598151
1,L,45,-27.421601,-8.030345,-51.172768
1,L,46,-26.538296,-9.187199,-51.702384
1,L,47,-25.642605,-10.365262,-52.185731
1,L,48,-24.741296,-11.56292,-52.621542
1,L,49,-23.840276,-12.778558,-53.008549
1,L,50,-22.940487,-14.010562,-53.345486
1,L,51,-22.041096,-15.257373,-53.631425
1,L,52,-21.141267,-16.517717,-53.867253
1,L,53,-20.240165,-17.790418,-54.054461
1,L,54,-19.336952,-19.0743,-54.194536
1,L,55,-18.430795,-20.368185,-54.288971
1,L,56,-17.520857,-21.670897,-54.339253
1,L,57,-16.606302,-22.981259,-54.346874
1,L,58,-15.686296,-24.298093,-54.313323
1,L,59,-14.760002,-25.620224,-54.24009
1,L,60,-13.826584,-26.946475,-54.128665
1,L,61,-12.885207,-28.275668,-53.980538
1,L,62,-11.935036,-29.606627,-53.797199
1,L,63,-10.975234,-30.938175,-53.580137
1,L,64,-10.004966,-32.269136,-53.330842
1,L,65,-9.02339600000002,-33.598332,-53.050805
1,L,66,-8.02968999999999,-34.924587,-52.741514
1,L,67,-7.02301000000003,-36.246724,-52.404461
1,L,68,-6.00252100000003,-37.563566,-52.041135
1,L,69,-4.967388,-38.873936,-51.653025
1,L,70,-3.916775,-40.176659,-51.241622
1,L,71,-2.84984600000001,-41.470555,-50.808416
1,L,72,-1.76576600000001,-42.75445,-50.354896
1,L,73,-0.663698000000011,-44.027167,-49.882552
1,L,74,0.456889999999987,-45.287527,-49.392874
1,L,75,1.59486200000001,-46.534531,-48.887353
1,L,76,2.74850000000001,-47.768328,-48.367477
1,L,77,3.91609,-48.989533,-47.834737
1,L,78,5.09591399999999,-50.198762,-47.290623
1,L,79,6.28625700000001,-51.396631,-46.736624
1,L,80,7.48540199999999,-52.583756,-46.17423
1,L,81,8.691633,-53.760755,-45.604932
1,L,82,9.903234,-54.928241,-45.030219
1,L,83,11.118489,-56.086833,-44.451581
1,L,84,12.335681,-57.237145,-43.870507
1,L,85,13.553095,-58.379794,-43.288489
1,L,86,14.769013,-59.515396,-42.707015
1,L,87,15.98172,-60.644567,-42.127576
1,L,88,17.1895,-61.767924,-41.551661
1,L,89,18.390635,-62.886081,-40.98076
1,L,90,19.583411,-63.999657,-40.416363
1,L,91,20.766111,-65.109266,-39.859961
1,L,92,21.937019,-66.215524,-39.313042
1,L,93,23.094418,-67.319049,-38.777097
1,L,94,24.236592,-68.420455,-38.253616
1,L,95,25.361825,-69.52036,-37.744088
1,L,96,26.468401,-70.619378,-37.250003
1,L,97,27.554603,-71.718127,-36.772852
1,L,98,28.618716,-72.817223,-36.314124
1,L,99,29.659023,-73.917281,-35.875308
1,R,0,0,0,0
1,R,1,-0.716666000000004,0.623305999999999,1.22653299999999
1,R,2,-1.545391,1.191936,2.447352
1,R,3,-2.478272,1.706747,3.66210999999998
1,R,4,-3.50740500000001,2.168595,4.87045799999999
1,R,5,-4.62488700000003,2.578337,6.072047
1,R,6,-5.82281300000002,2.936831,7.266527
1,R,7,-7.09328200000002,3.244935,8.45355099999998
1,R,8,-8.42838800000001,3.503504,9.632769
1,R,9,-9.82022900000001,3.713397,10.803834
1,R,10,-11.2609,3.875471,11.966395
1,R,11,-12.742499,3.990582,13.120104
1,R,12,-14.257121,4.059587,14.264613
1,R,13,-15.796864,4.083345,15.399572
1,R,14,-17.353663,4.062712,16.524634
1,R,15,-18.916825,3.998545,17.639449
1,R,16,-20.473521,3.891701,18.743668
1,R,17,-22.010856,3.743039,19.836942
1,R,18,-23.515937,3.553413,20.918924
1,R,19,-24.975871,3.323683,21.989263
1,R,20,-26.377763,3.054705,23.047612
1,R,21,-27.708722,2.747336,24.093622
1,R,22,-28.955854,2.402433,25.126943
1,R,23,-30.106264,2.020854,26.147228
1,R,24,-31.14706,1.603455,27.154126
1,R,25,-32.065348,1.151095,28.14729
1,R,26,-32.848235,0.664628999999998,29.126371
1,R,27,-33.486376,0.144915000000001,30.09102
1,R,28,-33.98352,-0.407189000000002,31.040888
1,R,29,-34.346437,-0.990826999999999,31.975626
1,R,30,-34.581895,-1.605141,32.894887
1,R,31,-34.696663,-2.249274,33.79832
1,R,32,-34.697511,-2.92237,34.685577
1,R,33,-34.591206,-3.62357,35.556309
1,R,34,-34.384519,-4.352019,36.410168
1,R,35,-34.084217,-5.106857,37.246805
1,R,36,-33.697071,-5.88723,38.065871
1,R,37,-33.229848,-6.692278,38.867017
1,R,38,-32.689318,-7.521146,39.649895
1,R,39,-32.08225,-8.372975,40.414156
1,R,40,-31.415413,-9.24691,41.15945
1,R,41,-30.695575,-10.142092,41.88543
1,R,42,-29.929506,-11.057665,42.591746
1,R,43,-29.123975,-11.992771,43.27805
1,R,44,-28.28575,-12.946553,43.943993
1,R,45,-27.421601,-13.918154,44.589226
1,R,46,-26.538296,-14.906717,45.2134
1,R,47,-25.642605,-15.911385,45.816167
1,R,48,-24.741296,-16.9313,46.397178
1,R,49,-23.840276,-17.965606,46.956084
1,R,50,-22.940487,-19.013445,47.492536
1,R,51,-22.041096,-20.07396,48.006186
1,R,52,-21.141267,-21.146294,48.496685
1,R,53,-20.240165,-22.22959,48.963684
1,R,54,-19.336952,-23.32299,49.406834
1,R,55,-18.430795,-24.425638,49.825786
1,R,56,-17.520857,-25.536676,50.220192
1,R,57,-16.606302,-26.655248,50.589703
1,R,58,-15.686296,-27.780495,50.93397
1,R,59,-14.760002,-28.911561,51.252645
1,R,60,-13.826584,-30.047589,51.545379
1,R,61,-12.885207,-31.187722,51.811822
1,R,62,-11.935036,-32.331101,52.051626
1,R,63,-10.975234,-33.476871,52.264443
1,R,64,-10.004966,-34.624174,52.449923
1,R,65,-9.02339600000002,-35.772153,52.607718
1,R,66,-8.02968999999999,-36.919951,52.73748
1,R,67,-7.02301000000003,-38.06671,52.838858
1,R,68,-6.00252100000003,-39.211574,52.911505
1,R,69,-4.967388,-40.353685,52.955072
1,R,70,-3.916775,-41.492186,52.96921
1,R,71,-2.84984600000001,-42.62622,52.95357
1,R,72,-1.76576600000001,-43.75493,52.907803
1,R,73,-0.663698000000011,-44.877458,52.831561
1,R,74,0.456889999999987,-45.992948,52.724495
1,R,75,1.59486200000001,-47.100543,52.586256
1,R,76,2.74850000000001,-48.199384,52.416496
1,R,77,3.91609,-49.288615,52.214865
1,R,78,5.09591399999999,-50.36738,51.981015
1,R,79,6.28625700000001,-51.43482,51.714597
1,R,80,7.48540199999999,-52.490078,51.415263
1,R,81,8.691633,-53.532298,51.082663
1,R,82,9.903234,-54.560623,50.716449
1,R,83,11.118489,-55.574194,50.316272
1,R,84,12.335681,-56.572155,49.881783
1,R,85,13.553095,-57.553649,49.412633
1,R,86,14.769013,-58.517819,48.908474
1,R,87,15.98172,-59.463807,48.368958
1,R,88,17.1895,-60.390756,47.793734
1,R,89,18.390635,-61.297809,47.182455
1,R,90,19.583411,-62.18411,46.534771
1,R,91,20.766111,-63.0488,45.850335
1,R,92,21.937019,-63.891023,45.128796
1,R,93,23.094418,-64.709921,44.369807
1,R,94,24.236592,-65.504638,43.573018
1,R,95,25.361825,-66.274316,42.738082
1,R,96,26.468401,-67.018098,41.864648
1,R,97,27.554603,-67.735126,40.952369
1,R,98,28.618716,-68.424545,40.000895
1,R,99,29.659023,-69.085496,39.009878
2,L,0,0,0,0
2,L,1,-4.23787500000003,2.59746999999999,-2.041721
2,L,2,-8.03296600000004,5.038089,-4.08051899999998
2,L,3,-11.401911,7.316674,-6.11586399999999
2,L,4,-14.361347,9.428042,-8.14722899999998
2,L,5,-16.927912,11.367008,-10.174084
2,L,6,-19.118244,13.128389,-12.195903
2,L,7,-20.94898,14.707001,-14.212157
2,L,8,-22.436758,16.09766,-16.222317
2,L,9,-23.598215,17.295182,-18.225855
2,L,10,-24.44999,18.294385,-20.222243
2,L,11,-25.008719,19.090083,-22.210952
2,L,12,-25.291047,19.677093,-24.191455
2,L,13,-25.315631,20.050232,-26.163223
2,L,14,-25.105993,20.207958,-28.125727
2,L,15,-24.686373,20.162349,-30.07844
2,L,16,-24.081015,19.92866,-32.020833
2,L,17,-23.314158,19.522148,-33.952377
2,L,18,-22.410045,18.958069,-35.872546
2,L,19,-21.392918,18.251682,-37.78081
2,L,20,-20.287017,17.418241,-39.67664
2,L,21,-19.116585,16.473004,-41.55951
2,L,22,-17.905863,15.431228,-43.428889
2,L,23,-16.679092,14.308169,-45.284252
2,L,24,-15.45998,13.119083,-47.125067
2,L,25,-14.259885,11.878713,-48.950809
2,L,26,-13.077768,10.594207,-50.760948
2,L,27,-11.912052,9.266925,-52.554956
2,L,28,-10.761159,7.898083,-54.332304
2,L,29,-9.62351000000001,6.488896,-56.092465
2,L,30,-8.49752699999999,5.040579,-57.834911
2,L,31,-7.38163200000002,3.554347,-59.559112
2,L,32,-6.274247,2.031416,-61.264541
2,L,33,-5.17379400000004,0.473000999999996,-62.950669
2,L,34,-4.07869300000004,-1.119684,-64.616968
2,L,35,-2.987368,-2.745423,-66.26291
2,L,36,-1.89823900000005,-4.403001,-67.887967
2,L,37,-0.809728000000007,-6.091202,-69.49161
2,L,38,0.279741999999999,-7.808812,-71.07331
2,L,39,1.37174999999996,-9.55461500000001,-72.632541
2,L,40,2.46787499999999,-11.327396,-74.168773
2,L,41,3.56969399999997,-13.12594,-75.681478
2,L,42,4.678786,-14.949032,-77.170127
2,L,43,5.79672899999997,-16.795457,-78.634193
2,L,44,6.92510099999998,-18.663999,-80.073148
2,L,45,8.06548099999998,-20.553443,-81.486462
2,L,46,9.219447,-22.462575,-82.873608
2,L,47,10.388577,-24.390178,-84.234058
2,L,48,11.574441,-26.335038,-85.567283
2,L,49,12.777904,-28.295939,-86.872754
2,L,50,13.99859,-30.271667,-88.149944
2,L,51,15.235994,-32.261009,-89.398005
2,L,52,16.489613,-34.262806,-90.610146
2,L,53,17.758942,-36.275944,-91.774333
2,L,54,19.043479,-38.299312,-92.878349
2,L,55,20.342718,-40.331799,-93.909976
2,L,56,21.656157,-42.372293,-94.856998
2,L,57,22.983291,-44.419683,-95.7072
2,L,58,24.323617,-46.472858,-96.448363
2,L,59,25.67663,-48.530706,-97.068272
2,L,60,27.041827,-50.592116,-97.554709
2,L,61,28.418704,-52.655976,-97.895459
2,L,62,29.806758,-54.721176,-98.078304
2,L,63,31.205483,-56.786603,-98.092008
2,L,64,32.614377,-58.851147,-97.939465
2,L,65,34.032936,-60.913695,-97.63419
2,L,66,35.460655,-62.973138,-97.189956
2,L,67,36.897032,-65.028362,-96.620534
2,L,68,38.341561,-67.078258,-95.939698
2,L,69,39.79374,-69.121713,-95.16122
2,L,70,41.253064,-71.157616,-94.298872
2,L,71,42.719029,-73.184856,-93.366427
2,L,72,44.191132,-75.202321,-92.377658
2,L,73,45.668869,-77.2089,-91.346337
2,L,74,47.151736,-79.203482,-90.286237
2,L,75,48.639229,-81.184956,-89.208344
2,L,76,50.130845,-83.152209,-88.113065
2,L,77,51.626079,-85.10413,-86.998292
2,L,78,53.124427,-87.039609,-85.861919
2,L,79,54.625387,-88.957534,-84.701837
2,L,80,56.128453,-90.856793,-83.515941
2,L,81,57.633122,-92.736275,-82.302123
2,L,82,59.138891,-94.594869,-81.058275
2,L,83,60.645255,-96.431463,-79.782292
2,L,84,62.15171,-98.244946,-78.472066
2,L,85,63.657754,-100.034206,-77.125489
2,L,86,65.162881,-101.798133,-75.740456
2,L,87,66.666588,-103.535614,-74.314858
2,L,88,68.168371,-105.245539,-72.846588
2,L,89,69.667726,-106.926796,-71.333541
2,L,90,71.16415,-108.578274,-69.773608
2,L,91,72.657139,-110.198861,-68.164682
2,L,92,74.146188,-111.787446,-66.504657
2,L,93,75.630795,-113.342917,-64.791426
2,L,94,77.110454,-114.864164,-63.022881
2,L,95,78.584663,-116.350074,-61.196915
2,L,96,80.052917,-117.799537,-59.311421
2,L,97,81.514712,-119.211441,-57.364293
2,L,98,82.969546,-120.584674,-55.353422
2,L,99,84.416913,-121.918126,-53.276703
2,R,0,0,0,0
2,R,1,-4.23787500000003,1.924221,1.454151
2,R,2,-8.03296600000004,3.710027,2.982945
2,R,3,-11.401911,5.35987,4.580985
2,R,4,-14.361347,6.876197,6.242876
2,R,5,-16.927912,8.261461,7.963221
2,R,6,-19.118244,9.518109,9.73662400000001
2,R,7,-20.94898,10.648593,11.557689
2,R,8,-22.436758,11.655361,13.42102
2,R,9,-23.598215,12.540864,15.32122
2,R,10,-24.44999,13.307552,17.252893
2,R,11,-25.008719,13.957875,19.210643
2,R,12,-25.291047,14.494281,21.189074
2,R,13,-25.315631,14.919222,23.182789
2,R,14,-25.105993,15.235147,25.186513
2,R,15,-24.686373,15.444505,27.195709
2,R,16,-24.081015,15.549748,29.206113
2,R,17,-23.314158,15.553323,31.213464
2,R,18,-22.410045,15.457683,33.213501
2,R,19,-21.392918,15.265275,35.201962
2,R,20,-20.287017,14.97855,37.174586
2,R,21,-19.116585,14.599958,39.12711
2,R,22,-17.905863,14.131949,41.055274
2,R,23,-16.679092,13.576972,42.954815
2,R,24,-15.45998,12.937478,44.821473
2,R,25,-14.259885,12.215916,46.651458
2,R,26,-13.077768,11.414736,48.443795
2,R,27,-11.912052,10.536388,50.198549
2,R,28,-10.761159,9.583322,51.915784
2,R,29,-9.62351000000001,8.557987,53.595565
2,R,30,-8.49752699999999,7.462834,55.237958
2,R,31,-7.38163200000002,6.30031200000001,56.843029
2,R,32,-6.274247,5.07287100000001,58.410841
2,R,33,-5.17379400000004,3.782961,59.941461
2,R,34,-4.07869300000004,2.433032,61.434953
2,R,35,-2.987368,1.025533,62.891383
2,R,36,-1.89823900000005,-0.437084999999996,64.310816
2,R,37,-0.809728000000007,-1.95237299999999,65.693317
2,R,38,0.279741999999999,-3.517881,67.038952
2,R,39,1.37174999999996,-5.131158,68.347785
2,R,40,2.46787499999999,-6.789756,69.619881
2,R,41,3.56969399999997,-8.491224,70.855307
2,R,42,4.678786,-10.233113,72.054127
2,R,43,5.79672899999997,-12.012973,73.216406
2,R,44,6.92510099999998,-13.828353,74.342209
2,R,45,8.06548099999998,-15.676804,75.431602
2,R,46,9.219447,-17.555876,76.484651
2,R,47,10.388577,-19.46312,77.501419
2,R,48,11.574441,-21.396085,78.481972
2,R,49,12.777904,-23.352322,79.426376
2,R,50,13.99859,-25.32938,80.334696
2,R,51,15.235994,-27.32482,81.206987
2,R,52,16.489613,-29.336647,82.042893
2,R,53,17.758942,-31.363483,82.841478
2,R,54,19.043479,-33.404001,83.601767
2,R,55,20.342718,-35.456871,84.32278
2,R,56,21.656157,-37.520764,85.003541
2,R,57,22.983291,-39.594349,85.643073
2,R,58,24.323617,-41.676299,86.240398
2,R,59,25.67663,-43.765282,86.79454
2,R,60,27.041827,-45.859971,87.304519
2,R,61,28.418704,-47.959035,87.76936
2,R,62,29.806758,-50.061146,88.188085
2,R,63,31.205483,-52.164973,88.559716
2,R,64,32.614377,-54.269188,88.883277
2,R,65,34.032936,-56.372462,89.157789
2,R,66,35.460655,-58.473464,89.382276
2,R,67,36.897032,-60.570865,89.555761
2,R,68,38.341561,-62.663336,89.677265
2,R,69,39.79374,-64.749548,89.745812
2,R,70,41.253064,-66.828172,89.760424
2,R,71,42.719029,-68.897877,89.720124
2,R,72,44.191132,-70.957335,89.623934
2,R,73,45.668869,-73.005216,89.470878
2,R,74,47.151736,-75.040191,89.259978
2,R,75,48.639229,-77.06093,88.990256
2,R,76,50.130845,-79.066105,88.660736
2,R,77,51.626079,-81.054385,88.270439
2,R,78,53.124427,-83.024441,87.818389
2,R,79,54.625387,-84.974945,87.303609
2,R,80,56.128453,-86.904566,86.72512
2,R,81,57.633122,-88.811975,86.081946
2,R,82,59.138891,-90.695843,85.373109
2,R,83,60.645255,-92.55484,84.597632
2,R,84,62.15171,-94.387638,83.754537
2,R,85,63.657754,-96.192906,82.842848
2,R,86,65.162881,-97.969316,81.861587
2,R,87,66.666588,-99.715537,80.809777
2,R,88,68.168371,-101.430242,79.686439
2,R,89,69.667726,-103.112099,78.490598
2,R,90,71.16415,-104.75978,77.221275
2,R,91,72.657139,-106.371956,75.877494
2,R,92,74.146188,-107.947297,74.458276
2,R,93,75.630795,-109.484474,72.962645
2,R,94,77.110454,-110.982157,71.389623
2,R,95,78.584663,-112.439017,69.738234
2,R,96,80.052917,-113.853725,68.007498
2,R,97,81.514712,-115.224951,66.196441
2,R,98,82.969546,-116.551366,64.304083
2,R,99,84.416913,-117.83164,62.329447
3,L,0,0,0,0
3,L,1,-2.68693500000001,2.942055,-1.58024599999999
3,L,2,-5.80871300000001,5.615575,-3.29271699999998
