rib_index,side,point_index,x,y,z
1,L,0,0,0,0
1,L,1,-1.053686,0.984305000000003,-1.30012499999998
1,L,2,-2.067297,1.914457,-2.61100699999997
1,L,3,-3.04133499999998,2.790372,-3.93137899999999
1,L,4,-3.976305,3.611964,-5.259973
1,L,5,-4.87271199999998,4.379149,-6.59552200000002
1,L,6,-5.73105899999999,5.091843,-7.936759
1,L,7,-6.551851,5.74996,-9.28241600000001
1,L,8,-7.33559099999999,6.353418,-10.631227
1,L,9,-8.08278499999997,6.90213,-11.981924
1,L,10,-8.79393599999997,7.396012,-13.33324
1,L,11,-9.46954799999997,7.834981,-14.683908
1,L,12,-10.110126,8.21895,-16.03266
1,L,13,-10.716174,8.547836,-17.378229
1,L,14,-11.288195,8.821555,-18.719348
1,L,15,-11.826695,9.040021,-20.05475
1,L,16,-12.332177,9.203149,-21.383167
1,L,17,-12.805145,9.310857,-22.703333
1,L,18,-13.246105,9.363058,-24.01398
1,L,19,-13.655559,9.359669,-25.31384
1,L,20,-14.034012,9.300604,-26.601647
1,L,21,-14.381969,9.185779,-27.876133
1,L,22,-14.699933,9.01511,-29.136032
1,L,23,-14.988409,8.788513,-30.380075
1,L,24,-15.2479,8.505901,-31.606995
1,L,25,-15.478912,8.167265,-32.815526
1,L,26,-15.681947,7.773537,-34.0044
1,L,27,-15.857511,7.32632,-35.17235
1,L,28,-16.006108,6.827227,-36.318109
1,L,29,-16.128242,6.277872,-37.440409
1,L,30,-16.224416,5.679869,-38.537983
1,L,31,-16.295136,5.034832,-39.609564
1,L,32,-16.340905,4.344376,-40.653884
1,L,33,-16.362227,3.610114,-41.669677
1,L,34,-16.359607,2.83366,-42.655676
1,L,35,-16.333549,2.01663,-43.610612
1,L,36,-16.284558,1.160635,-44.533219
1,L,37,-16.213136,0.267291,-45.422229
1,L,38,-16.119789,-0.661786999999997,-46.276376
1,L,39,-16.00502,-1.624988,-47.094391
1,L,40,-15.869335,-2.620695,-47.875009
1,L,41,-15.713236,-3.647295,-48.61696
1,L,42,-15.537229,-4.703174,-49.31898
1,L,43,-15.341817,-5.786718,-49.979799
1,L,44,-15.127504,-6.896313,-50.598151
1,L,45,-14.894796,-8.030345,-51.172768
1,L,46,-14.644195,-9.187199,-51.702384
1,L,47,-14.376206,-10.365262,-52.185731
1,L,48,-14.091334,-11.56292,-52.621542
1,L,49,-13.790082,-12.778558,-53.008549
1,L,50,-13.472955,-14.010562,-53.345486
1,L,51,-13.140457,-15.257373,-53.631425
1,L,52,-12.793092,-16.517717,-53.867253
1,L,53,-12.431364,-17.790418,-54.054461
1,L,54,-12.055778,-19.0743,-54.194536
1,L,55,-11.666837,-20.368185,-54.288971
1,L,56,-11.265046,-21.670897,-54.339253
1,L,57,-10.85091,-22.981259,-54.346874
1,L,58,-10.424931,-24.298093,-54.313323
1,L,59,-9.98761499999998,-25.620224,-54.24009
1,L,60,-9.53946499999998,-26.946475,-54.128665
1,L,61,-9.080986,-28.275668,-53.980538
1,L,62,-8.61268199999998,-29.606627,-53.797199
1,L,63,-8.13505699999999,-30.938175,-53.580137
1,L,64,-7.64861599999998,-32.269136,-53.330842
1,L,65,-7.15386199999998,-33.598332,-53.050805
1,L,66,-6.65129899999999,-34.924587,-52.741514
1,L,67,-6.14143299999998,-36.246724,-52.404461
1,L,68,-5.62476699999999,-37.563566,-52.041135
1,L,69,-5.10180499999998,-38.873936,-51.653025
1,L,70,-4.57305099999999,-40.176659,-51.241622
1,L,71,-4.03900999999999,-41.470555,-50.808416
1,L,72,-3.50018599999999,-42.75445,-50.354896
1,L,73,-2.95708299999998,-44.027167,-49.882552
1,L,74,-2.41020499999999,-45.287527,-49.392874
1,L,75,-1.86005599999999,-46.534531,-48.887353
1,L,76,-1.30714099999997,-47.768328,-48.367477
1,L,77,-0.751963999999987,-48.989533,-47.834737
1,L,78,-0.195028999999977,-50.198762,-47.290623
1,L,79,0.363160000000022,-51.396631,-46.736624
1,L,80,0.922099000000003,-52.583756,-46.17423
1,L,81,1.48128300000002,-53.760755,-45.604932
1,L,82,2.040209,-54.928241,-45.030219
1,L,83,2.59837200000001,-56.086833,-44.451581
1,L,84,3.15526700000001,-57.237145,-43.870507
1,L,85,3.71039200000001,-58.379794,-43.288489
1,L,86,4.26324100000002,-59.515396,-42.707015
1,L,87,4.81331,-60.644567,-42.127576
1,L,88,5.36009600000003,-61.767924,-41.551661
1,L,89,5.90309300000001,-62.886081,-40.98076
1,L,90,6.441799,-63.999657,-40.416363
1,L,91,6.975707,-65.109266,-39.859961
1,L,92,7.50431600000002,-66.215524,-39.313042
1,L,93,8.027119,-67.319049,-38.777097
1,L,94,8.54361400000002,-68.420455,-38.253616
1,L,95,9.05329600000002,-69.52036,-37.744088
1,L,96,9.55566000000002,-70.619378,-37.250003
1,L,97,10.050203,-71.718127,-36.772852
1,L,98,10.53642,-72.817223,-36.314124
1,L,99,11.013807,-73.917281,-35.875308
1,R,0,0,0,0
1,R,1,-1.053686,0.623305999999999,1.22653299999999
1,R,2,-2.067297,1.191936,2.447352
1,R,3,-3.04133499999998,1.706747,3.66210999999998
1,R,4,-3.976305,2.168595,4.87045799999999
1,R,5,-4.87271199999998,2.578337,6.072047
1,R,6,-5.73105899999999,2.936831,7.266527
1,R,7,-6.551851,3.244935,8.45355099999998
1,R,8,-7.33559099999999,3.503504,9.632769
1,R,9,-8.08278499999997,3.713397,10.803834
1,R,10,-8.79393599999997,3.875471,11.966395
1,R,11,-9.46954799999997,3.990582,13.120104
1,R,12,-10.110126,4.059587,14.264613
1,R,13,-10.716174,4.083345,15.399572
1,R,14,-11.288195,4.062712,16.524634
1,R,15,-11.826695,3.998545,17.639449
1,R,16,-12.332177,3.891701,18.743668
1,R,17,-12.805145,3.743039,19.836942
1,R,18,-13.246105,3.553413,20.918924
1,R,19,-13.655559,3.323683,21.989263
1,R,20,-14.034012,3.054705,23.047612
1,R,21,-14.381969,2.747336,24.093622
1,R,22,-14.699933,2.402433,25.126943
1,R,23,-14.988409,2.020854,26.147228
1,R,24,-15.2479,1.603455,27.154126
1,R,25,-15.478912,1.151095,28.14729
1,R,26,-15.681947,0.664628999999998,29.126371
1,R,27,-15.857511,0.144915000000001,30.09102
1,R,28,-16.006108,-0.407189000000002,31.040888
1,R,29,-16.128242,-0.990826999999999,31.975626
1,R,30,-16.224416,-1.605141,32.894887
1,R,31,-16.295136,-2.249274,33.79832
1,R,32,-16.340905,-2.92237,34.685577
1,R,33,-16.362227,-3.62357,35.556309
1,R,34,-16.359607,-4.352019,36.410168
1,R,35,-16.333549,-5.106857,37.246805
1,R,36,-16.284558,-5.88723,38.065871
1,R,37,-16.213136,-6.692278,38.867017
1,R,38,-16.119789,-7.521146,39.649895
1,R,39,-16.00502,-8.372975,40.414156
1,R,40,-15.869335,-9.24691,41.15945
1,R,41,-15.713236,-10.142092,41.88543
1,R,42,-15.537229,-11.057665,42.591746
1,R,43,-15.341817,-11.992771,43.27805
1,R,44,-15.127504,-12.946553,43.943993
1,R,45,-14.894796,-13.918154,44.589226
1,R,46,-14.644195,-14.906717,45.2134
1,R,47,-14.376206,-15.911385,45.816167
1,R,48,-14.091334,-16.9313,46.397178
1,R,49,-13.790082,-17.965606,46.956084
1,R,50,-13.472955,-19.013445,47.492536
1,R,51,-13.140457,-20.07396,48.006186
1,R,52,-12.793092,-21.146294,48.496685
1,R,53,-12.431364,-22.22959,48.963684
1,R,54,-12.055778,-23.32299,49.406834
1,R,55,-11.666837,-24.425638,49.825786
1,R,56,-11.265046,-25.536676,50.220192
1,R,57,-10.85091,-26.655248,50.589703
1,R,58,-10.424931,-27.780495,50.93397
1,R,59,-9.98761499999998,-28.911561,51.252645
1,R,60,-9.53946499999998,-30.047589,51.545379
1,R,61,-9.080986,-31.187722,51.811822
1,R,62,-8.61268199999998,-32.331101,52.051626
1,R,63,-8.13505699999999,-33.476871,52.264443
1,R,64,-7.64861599999998,-34.624174,52.449923
1,R,65,-7.15386199999998,-35.772153,52.607718
